product_id,name,price,stock,category
P001,گوشواره مرواریدی,450000.0,15,گوشواره
P002,گوشواره حلقه‌ای طلایی,520000.0,11,گوشواره
P003,گوشواره نگین‌دار نقره‌ای,680000.0,8,گوشواره
P004,گوشواره آویز قلبی,390000.0,19,گوشواره
P005,گوشواره طرح پروانه,470000.0,14,گوشواره
P006,دستبند چرمی مشکی,750000.0,10,دستبند
P007,دستبند مهره‌ای رنگی,320000.0,18,دستبند
P008,دستبند استیل طلایی,890000.0,7,دستبند
P009,دستبند زنجیری ظریف,640000.0,11,دستبند
P010,دستبند سنگ طبیعی,980000.0,6,دستبند
P011,گردنبند قلب طلایی,1250000.0,9,گردنبند
P012,گردنبند مرواریدی,1450000.0,5,گردنبند
P013,گردنبند ستاره‌ای,990000.0,13,گردنبند
P014,گردنبند نگین‌دار,1680000.0,4,گردنبند
P015,گردنبند پروانه‌ای,1190000.0,8,گردنبند
P016,انگشتر نقره زنانه,850000.0,9,انگشتر
P017,انگشتر نگین یاقوت,1750000.0,5,انگشتر
P018,انگشتر طرح گل,690000.0,14,انگشتر
P019,انگشتر مینیمال طلایی,1120000.0,7,انگشتر
P020,انگشتر مرواریدی,900000.0,9,انگشتر
